INTERACTOR_A	INTERACTOR_B
LOC_Os04g51792	LOC_Os09g10750
LOC_Os04g51792	LOC_Os02g57020
LOC_Os04g51792	LOC_Os04g51300
LOC_Os04g51792	LOC_Os01g68450
LOC_Os04g51792	LOC_Os02g42960
LOC_Os04g51792	LOC_Os02g38210
LOC_Os04g51792	LOC_Os11g11210
LOC_Os04g51792	LOC_Os04g41340
LOC_Os04g51792	LOC_Os01g52170
LOC_Os04g51792	LOC_Os03g20100
LOC_Os04g51792	LOC_Os03g17070
LOC_Os04g51792	LOC_Os02g36570
LOC_Os04g51792	LOC_Os01g25600
LOC_Os04g51792	LOC_Os07g05000
LOC_Os04g51792	LOC_Os01g59080
LOC_Os04g51792	LOC_Os01g59090
LOC_Os04g51792	LOC_Os02g02520
LOC_Os04g51792	LOC_Os05g41190
LOC_Os04g51792	LOC_Os02g51470
LOC_Os04g51792	LOC_Os12g23180
LOC_Os04g51792	LOC_Os02g09590
LOC_Os04g51792	LOC_Os08g29370
LOC_Os04g51792	LOC_Os06g47940
LOC_Os04g51792	LOC_Os03g64020
LOC_Os04g51792	LOC_Os04g38640
LOC_Os04g51792	LOC_Os04g50110
